Fund Holdings as of,"27/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’455’214’714.20","8.29","2’455’214’714.20","11’548’517.00","212.60","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’168’855’781.30","7.32","2’168’855’781.30","6’977’178.00","310.85","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’456’321’921.41","4.92","1’456’321’921.41","3’529’023.00","412.67","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’386’915’087.10","4.68","1’386’915’087.10","5’101’766.00","271.85","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’370’970’977.67","4.63","1’370’970’977.67","1’476’687.00","928.41","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’075’849’061.04","3.63","1’075’849’061.04","2’766’888.00","388.83","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’060’008’622.92","3.58","1’060’008’622.92","2’139’098.00","495.54","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’044’545’809.72","3.53","1’044’545’809.72","2’372’027.00","440.36","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","994’547’725.06","3.36","994’547’725.06","2’584’382.00","384.83","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","950’559’841.74","3.21","950’559’841.74","2’253’259.00","421.86","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","890’415’970.09","3.01","890’415’970.09","1’401’667.00","635.26","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","798’019’573.23","2.69","798’019’573.23","6’553’499.00","121.77","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","760’096’023.92","2.57","760’096’023.92","6’412’148.00","118.54","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","620’170’268.79","2.09","620’170’268.79","5’182’337.00","119.67","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","584’529’985.89","1.97","584’529’985.89","582’381.00","1’003.69","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","522’536’825.58","1.76","522’536’825.58","1’638’406.00","318.93","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","483’880’566.00","1.63","483’880’566.00","5’539’560.00","87.35","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","466’734’037.00","1.58","466’734’037.00","1’041’236.00","448.25","United States","NASDAQ","USD"
