Fund Holdings as of,"18/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’562’294’024.64","8.96","2’562’294’024.64","11’525’252.00","222.32","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’073’898’043.52","7.25","2’073’898’043.52","6’963’128.00","297.84","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’491’665’526.00","5.22","1’491’665’526.00","3’521’900.00","423.54","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’348’529’127.94","4.72","1’348’529’127.94","5’091’479.00","264.86","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’096’077’963.86","3.83","1’096’077’963.86","2’761’319.00","396.94","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1’013’906’953.34","3.55","1’013’906’953.34","2’579’194.00","393.11","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’004’390’268.78","3.51","1’004’390’268.78","1’473’707.00","681.54","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","970’544’727.60","3.39","970’544’727.60","2’367’240.00","409.99","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","946’066’563.98","3.31","946’066’563.98","2’248’738.00","420.71","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","898’732’398.93","3.14","898’732’398.93","2’134’807.00","420.99","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","854’989’886.08","2.99","854’989’886.08","1’398’848.00","611.21","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","853’268’661.30","2.98","853’268’661.30","6’399’195.00","133.34","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","707’461’871.26","2.47","707’461’871.26","6’540’278.00","108.17","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","625’638’981.65","2.19","625’638’981.65","581’195.00","1’076.47","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","614’829’765.76","2.15","614’829’765.76","5’171’852.00","118.88","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","495’617’742.95","1.73","495’617’742.95","5’528’363.00","89.65","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","454’493’507.84","1.59","454’493’507.84","1’635’104.00","277.96","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","429’752’994.10","1.50","429’752’994.10","1’039’130.00","413.57","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","405’331’888.72","1.42","405’331’888.72","2’999’348.00","135.14","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","356’970’916.80","1.25","356’970’916.80","1’187’528.00","300.60","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","310’979’894.68","1.09","310’979’894.68","608’738.00","510.86","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","301’074’850.95","1.05","301’074’850.95","171’411.00","1’756.45","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","285’109’440.24","1.00","285’109’440.24","1’400’066.00","203.64","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","274’543’054.05","0.96","274’543’054.05","1’440’037.00","190.65","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","267’066’597.40","0.93","267’066’597.40","638’030.00","418.58","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","266’195’074.50","0.93","266’195’074.50","1’785’825.00","149.06","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","263’846’216.50","0.92","263’846’216.50","1’065’830.00","247.55","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","257’760’144.67","0.90","257’760’144.67","193’367.00","1’333.01","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","229’596’105.42","0.80","229’596’105.42","707’778.00","324.39","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","212’209’913.80","0.74","212’209’913.80","286’445.00","740.84","United States","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","210’099’632.88","0.73","210’099’632.88","1’620’264.00","129.67","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","205’281’629.28","0.72","205’281’629.28","466’634.00","439.92","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","203’531’330.51","0.71","203’531’330.51","328’897.00","618.83","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","202’975’990.96","0.71","202’975’990.96","442’522.00","458.68","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","198’609’843.46","0.69","198’609’843.46","403’367.00","492.38","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","193’347’648.99","0.68","193’347’648.99","1’144’543.00","168.93","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","179’982’658.05","0.63","179’982’658.05","828’535.00","217.23","United States","NASDAQ","USD"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","169’472’089.00","0.59","169’472’089.00","115’100.00","1’472.39","Netherlands","NASDAQ","USD"
