Fund Holdings as of,"25/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’481’754’907.48","8.54","2’481’754’907.48","11’525’356.00","215.33","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’150’373’571.08","7.40","2’150’373’571.08","6’963’194.00","308.82","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’474’178’007.23","5.07","1’474’178’007.23","3’521’939.00","418.57","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’355’976’535.92","4.66","1’355’976’535.92","5’091’531.00","266.32","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’106’763’720.00","3.81","1’106’763’720.00","1’473’720.00","751.00","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’057’512’294.65","3.64","1’057’512’294.65","2’761’345.00","382.97","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’008’478’988.66","3.47","1’008’478’988.66","2’367’266.00","426.01","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","998’049’698.20","3.43","998’049’698.20","2’134’820.00","467.51","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","978’499’551.66","3.37","978’499’551.66","2’579’207.00","379.38","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","931’297’739.14","3.20","931’297’739.14","2’248’751.00","414.14","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","853’668’913.86","2.94","853’668’913.86","1’398’861.00","610.26","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","783’794’705.12","2.70","783’794’705.12","6’540’343.00","119.84","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","769’639’962.36","2.65","769’639’962.36","6’399’268.00","120.27","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","622’750’646.38","2.14","622’750’646.38","5’171’918.00","120.41","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","597’621’313.92","2.06","597’621’313.92","581’208.00","1’028.24","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","499’282’975.95","1.72","499’282’975.95","1’635’117.00","305.35","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","489’818’720.80","1.68","489’818’720.80","5’528’428.00","88.60","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","449’076’038.88","1.54","449’076’038.88","1’039’143.00","432.16","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","410’556’092.56","1.41","410’556’092.56","2’999’387.00","136.88","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","367’199’552.61","1.26","367’199’552.61","1’187’541.00","309.21","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","333’445’910.72","1.15","333’445’910.72","1’400’092.00","238.16","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","323’689’104.18","1.11","323’689’104.18","171’411.00","1’888.38","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","315’070’614.04","1.08","315’070’614.04","608’738.00","517.58","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","285’929’849.23","0.98","285’929’849.23","193’367.00","1’478.69","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","277’737’368.94","0.96","277’737’368.94","1’065’843.00","260.58","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","275’726’373.50","0.95","275’726’373.50","1’440’050.00","191.47","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","268’894’681.65","0.92","268’894’681.65","1’785’845.00","150.57","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","253’347’734.01","0.87","253’347’734.01","638’043.00","397.07","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","240’153’486.30","0.83","240’153’486.30","707’791.00","339.30","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","232’802’444.85","0.80","232’802’444.85","286’445.00","812.73","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","224’710’679.48","0.77","224’710’679.48","1’144’556.00","196.33","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","218’210’003.62","0.75","218’210’003.62","328’897.00","663.46","United States","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","217’702’164.40","0.75","217’702’164.40","1’620’290.00","134.36","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","214’310’849.80","0.74","214’310’849.80","442’535.00","484.28","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","204’438’050.70","0.70","204’438’050.70","466’647.00","438.10","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","194’293’816.56","0.67","194’293’816.56","403’367.00","481.68","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","188’842’660.16","0.65","188’842’660.16","828’548.00","227.92","United States","NASDAQ","USD"
