Fund Holdings as of,"28/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’476’211’515.00","8.29","2’476’211’515.00","11’557’580.00","214.25","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’182’147’951.50","7.30","2’182’147’951.50","6’982’650.00","312.51","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’508’041’147.05","5.05","1’508’041’147.05","3’531’795.00","426.99","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’398’981’254.00","4.68","1’398’981’254.00","5’105’771.00","274.00","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’364’822’184.96","4.57","1’364’822’184.96","1’477’848.00","923.52","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’109’112’565.48","3.71","1’109’112’565.48","2’140’772.00","518.09","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’080’292’207.41","3.61","1’080’292’207.41","2’769’057.00","390.13","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’049’496’769.00","3.51","1’049’496’769.00","2’373’890.00","442.10","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","998’663’470.84","3.34","998’663’470.84","2’586’407.00","386.12","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","961’947’711.34","3.22","961’947’711.34","2’255’023.00","426.58","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","891’162’576.85","2.98","891’162’576.85","1’402’765.00","635.29","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","792’874’835.83","2.65","792’874’835.83","6’558’647.00","120.89","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","763’003’653.20","2.55","763’003’653.20","6’417’188.00","118.90","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","615’316’156.96","2.06","615’316’156.96","5’186’414.00","118.64","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","580’042’368.00","1.94","580’042’368.00","582’840.00","995.20","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","521’422’374.00","1.74","521’422’374.00","1’639’693.00","318.00","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","478’772’585.76","1.60","478’772’585.76","5’543’916.00","86.36","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","468’591’292.40","1.57","468’591’292.40","1’042’055.00","449.68","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","431’138’482.02","1.44","431’138’482.02","3’007’803.00","143.34","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","376’255’060.55","1.26","376’255’060.55","1’190’869.00","315.95","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","341’578’186.84","1.14","341’578’186.84","1’403’996.00","243.29","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","331’342’248.33","1.11","331’342’248.33","171’891.00","1’927.63","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","318’332’054.04","1.07","318’332’054.04","193’911.00","1’641.64","United States","NASDAQ","USD"
"LIN","LINDE PLC","Materials","Equity","306’425’659.32","1.03","306’425’659.32","610’434.00","501.98","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","275’509’473.63","0.92","275’509’473.63","1’068’819.00","257.77","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","272’945’938.82","0.91","272’945’938.82","1’444’082.00","189.01","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","268’097’263.35","0.90","268’097’263.35","639’835.00","419.01","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","261’986’226.01","0.88","261’986’226.01","1’790’869.00","146.29","United States","NASDAQ","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","252’982’416.40","0.85","252’982’416.40","287’245.00","880.72","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","242’647’706.43","0.81","242’647’706.43","404’487.00","599.89","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","238’825’092.00","0.80","238’825’092.00","709’775.00","336.48","United States","NASDAQ","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","235’728’653.94","0.79","235’728’653.94","443’783.00","531.18","United States","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","235’094’861.48","0.79","235’094’861.48","1’147’756.00","204.83","United States","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","221’334’887.48","0.74","221’334’887.48","1’624’834.00","136.22","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","221’312’575.00","0.74","221’312’575.00","329’825.00","671.00","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","198’241’471.17","0.66","198’241’471.17","467’959.00","423.63","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","193’595’972.00","0.65","193’595’972.00","830’884.00","233.00","United States","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","185’773’565.03","0.62","185’773’565.03","1’615’001.00","115.03","Canada","NASDAQ","USD"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","185’337’973.40","0.62","185’337’973.40","115’420.00","1’605.77","Netherlands","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","177’165’903.74","0.59","177’165’903.74","1’043’257.00","169.82","United States","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","150’516’067.00","0.50","150’516’067.00","1’493’956.00","100.75","United States","NASDAQ","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","149’501’476.07","0.50","149’501’476.07","333’731.00","447.97","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","136’112’346.62","0.46","136’112’346.62","475’402.00","286.31","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","136’109’438.75","0.46","136’109’438.75","364’075.00","373.85","United States","NASDAQ","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","134’187’773.28","0.45","134’187’773.28","347’853.00","385.76","United States","NASDAQ","USD"
"ADBE","ADOBE INC","Information Technology","Equity","129’518’797.92","0.43","129’518’797.92","536’443.00","241.44","United States","NASDAQ","USD"
"FTNT","FORTINET INC","Information Technology","Equity","126’600’559.10","0.42","126’600’559.10","976’103.00","129.70","United States","NASDAQ","USD"
"SNPS","SYNOPSYS INC","Information Technology","Equity","120’920’853.12","0.40","120’920’853.12","251’583.00","480.64","United States","NASDAQ","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","118’834’604.96","0.40","118’834’604.96","4’723’156.00","25.16","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","116’273’620.58","0.39","116’273’620.58","528’853.00","219.86","United States","NASDAQ","USD"
"INTU","INTUIT INC","Information Technology","Equity","113’719’473.00","0.38","113’719’473.00","363’321.00","313.00","United States","NASDAQ","USD"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","113’651’755.56","0.38","113’651’755.56","1’291’644.00","87.99","United States","NASDAQ","USD"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","112’433’985.36","0.38","112’433’985.36","66’312.00","1’695.53","United States","NASDAQ","USD"
"CSX","CSX CORP","Industrials","Equity","111’169’783.98","0.37","111’169’783.98","2’426’758.00","45.81","United States","NASDAQ","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","109’122’530.32","0.37","109’122’530.32","330’394.00","330.28","United States","NASDAQ","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","105’434’188.86","0.35","105’434’188.86","64’558.00","1’633.17","United States","NASDAQ","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","104’870’477.54","0.35","104’870’477.54","1’680’886.00","62.39","United States","NASDAQ","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","98’192’796.58","0.33","98’192’796.58","1’100’446.00","89.23","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","97’291’356.80","0.33","97’291’356.80","428’219.00","227.20","United States","NASDAQ","USD"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","96’420’288.72","0.32","96’420’288.72","428’078.00","225.24","United States","NASDAQ","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","90’393’905.04","0.30","90’393’905.04","707’529.00","127.76","United States","NASDAQ","USD"
"CTAS","CINTAS CORP","Industrials","Equity","90’222’408.16","0.30","90’222’408.16","521’336.00","173.06","United States","NASDAQ","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","88’370’640.80","0.30","88’370’640.80","3’268’145.00","27.04","United States","NASDAQ","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","84’879’121.84","0.28","84’879’121.84","136’567.00","621.52","United States","NASDAQ","USD"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","84’078’932.49","0.28","84’078’932.49","1’299’319.00","64.71","United States","NASDAQ","USD"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","83’578’922.30","0.28","83’578’922.30","533’369.00","156.70","United States","NASDAQ","USD"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","80’806’193.66","0.27","80’806’193.66","93’893.00","860.62","United States","NASDAQ","USD"
"PCAR","PACCAR INC","Industrials","Equity","77’709’768.94","0.26","77’709’768.94","692’477.00","112.22","United States","NASDAQ","USD"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","75’290’679.00","0.25","75’290’679.00","559’782.00","134.50","United States","NASDAQ","USD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","73’174’920.21","0.24","73’174’920.21","881’307.00","83.03","China","NASDAQ","USD"
