iShares Core S&P 500 ETF
Fund Holdings as of,"May 28, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,109,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KO","COCA-COLA","Consumer Staples","Equity","4,088,909,450.78","0.48","4,088,909,450.78","50,850,758.00","80.41","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,972,451,430.86","0.47","3,972,451,430.86","3,939,478.00","1,008.37","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,908,528,255.17","0.46","3,908,528,255.17","32,600,953.00","119.89","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,766,313,254.05","0.44","3,766,313,254.05","11,920,599.00","315.95","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,651,188,647.40","0.43","3,651,188,647.40","20,446,820.00","178.57","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","3,525,913,704.00","0.41","3,525,913,704.00","3,540,074.00","996.00","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","3,409,685,021.00","0.40","3,409,685,021.00","14,014,900.00","243.29","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","3,319,118,629.95","0.39","3,319,118,629.95","1,721,865.00","1,927.63","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,244,016,800.42","0.38","3,244,016,800.42","12,277,711.00","264.22","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,220,312,608.27","0.38","3,220,312,608.27","15,802,113.00","203.79","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","3,182,557,177.80","0.37","3,182,557,177.80","1,938,645.00","1,641.64","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,155,222,821.68","0.37","3,155,222,821.68","17,630,883.00","178.96","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,113,568,530.10","0.37","3,113,568,530.10","40,620,594.00","76.65","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","3,078,872,242.88","0.36","3,078,872,242.88","6,133,456.00","501.98","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,861,785,276.56","0.34","2,861,785,276.56","22,953,042.00","124.68","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","2,735,978,255.33","0.32","2,735,978,255.33","10,614,029.00","257.77","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2,689,186,905.54","0.32","2,689,186,905.54","6,417,954.00","419.01","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,659,256,520.38","0.31","2,659,256,520.38","55,389,638.00","48.01","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,626,017,850.72","0.31","2,626,017,850.72","17,950,768.00","146.29","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,600,165,014.37","0.30","2,600,165,014.37","9,354,121.00","277.97","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,522,579,361.28","0.30","2,522,579,361.28","2,864,224.00","880.72","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,413,644,824.36","0.28","2,413,644,824.36","23,268,532.00","103.73","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,404,295,740.06","0.28","2,404,295,740.06","4,934,723.00","487.22","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,386,706,387.25","0.28","2,386,706,387.25","27,354,801.00","87.25","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,384,395,794.56","0.28","2,384,395,794.56","16,145,692.00","147.68","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,379,825,124.32","0.28","2,379,825,124.32","7,072,709.00","336.48","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,365,471,492.02","0.28","2,365,471,492.02","4,453,239.00","531.18","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,359,912,371.12","0.28","2,359,912,371.12","10,315,204.00","228.78","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,287,741,526.88","0.27","2,287,741,526.88","91,951,026.00","24.88","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,259,176,594.76","0.26","2,259,176,594.76","14,585,684.00","154.89","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","2,221,811,174.00","0.26","2,221,811,174.00","3,311,194.00","671.00","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","2,219,840,302.68","0.26","2,219,840,302.68","16,295,994.00","136.22","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,216,747,248.56","0.26","2,216,747,248.56","7,034,613.00","315.12","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,168,181,797.59","0.25","2,168,181,797.59","12,307,327.00","176.17","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","2,135,283,859.51","0.25","2,135,283,859.51","3,559,459.00","599.89","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","2,105,969,398.71","0.25","2,105,969,398.71","13,563,273.00","155.27","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","2,080,976,373.00","0.24","2,080,976,373.00","7,793,919.00","267.00","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,050,564,435.92","0.24","2,050,564,435.92","5,101,668.00","401.94","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","1,983,236,686.68","0.23","1,983,236,686.68","1,895,132.00","1,046.49","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","1,975,996,717.20","0.23","1,975,996,717.20","4,664,440.00","423.63","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,971,068,785.30","0.23","1,971,068,785.30","22,839,731.00","86.30","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,952,153,288.88","0.23","1,952,153,288.88","74,680,692.00","26.14","United States","NYSE","USD","1.00","USD","-"
